ExpID;MeasureDate;LeafID;An;Ci;PPFD;PhiPS2
GC1;08.11.2016;n3-l-a1-l3;12.47764412;304.8771363;500.1308289;0.400204328
GC1;08.11.2016;n3-l-a1-l3;7.514168558;327.4041623;200.0088196;0.599587068
GC1;08.11.2016;n3-l-a1-l3;5.603903048;345.7196826;123.7101288;0.645919393
GC1;08.11.2016;n3-l-a1-l3;5.028841866;339.4679458;101.8117142;0.667583676
GC1;08.11.2016;n3-l-a1-l3;3.24432243;364.7451134;79.95054626;0.686477928
GC1;08.11.2016;n3-l-a1-l3;2.762796825;368.5426588;58.21075821;0.702553345
GC1;08.11.2016;n3-l-a1-l3;0.715264476;382.6044383;40.13293457;0.71351161
GC1;08.11.2016;n3-l-a1-l3;0.630239313;384.9561623;30.52407646;0.722377527
GC1;08.11.2016;n3-l-a1-l3;-0.871058043;401.5081285;0.331051588;0.755577663
GC1;08.11.2016;n2-l-a1-l7;15.0352963;354.649024;1299.997681;0.171543477
GC1;08.11.2016;n2-l-a1-l7;14.4827663;335.7507948;998.8083496;0.216874334
GC1;08.11.2016;n2-l-a1-l7;12.16456228;335.118725;500.9931641;0.387205888
GC1;08.11.2016;n2-l-a1-l7;7.519527648;351.6307911;200.8861389;0.58975014
GC1;08.11.2016;n2-l-a1-l7;4.552789695;365.9752569;124.5212021;0.646179983
GC1;08.11.2016;n2-l-a1-l7;3.457985351;370.9880442;98.84253693;0.674764351
GC1;08.11.2016;n2-l-a1-l7;2.685216484;374.7811535;80.79249573;0.691051617
GC1;08.11.2016;n2-l-a1-l7;1.499572527;382.03416;59.09486771;0.704731527
GC1;08.11.2016;n2-l-a1-l7;0.945282735;385.7568481;40.87900543;0.715346212
GC1;08.11.2016;n2-l-a1-l7;-0.337129568;395.3189422;28.04696465;0.721894408
GC1;08.11.2016;n2-l-a1-l7;-1.339242166;402.9431008;0.489424378;0.757337887
GC1;08.11.2016;n1-l-a1-l7;12.43681633;352.7750744;1298.2146;0.154869741
GC1;08.11.2016;n1-l-a1-l7;11.5026276;328.507665;998.8029175;0.204799335
GC1;08.11.2016;n1-l-a1-l7;11.00055634;336.38113;500.9815674;0.356339501
GC1;08.11.2016;n1-l-a1-l7;6.872092364;351.4636657;200.9361572;0.546312158
GC1;08.11.2016;n1-l-a1-l7;4.103715655;363.0777668;124.5719147;0.605957904
GC1;08.11.2016;n1-l-a1-l7;4.066149774;354.8715767;98.78799438;0.638372253
GC1;08.11.2016;n1-l-a1-l7;2.703570647;375.0675449;80.85011292;0.659890088
GC1;08.11.2016;n1-l-a1-l7;1.813623833;380.386747;58.99559784;0.677455699
GC1;08.11.2016;n1-l-a1-l7;0.786901629;385.6678228;40.93222809;0.691377747
GC1;08.11.2016;n1-l-a1-l7;0.335510335;388.9216266;31.39373016;0.696557917
GC1;08.11.2016;n1-l-a1-l7;-1.464278371;403.2135229;0.421318978;0.736923276
GC1;08.11.2016;n1-h-a1-l5;24.42690989;252.584624;1301.453247;0.349543875
GC1;08.11.2016;n1-h-a1-l5;22.76737064;248.4601936;1001.016541;0.412341201
GC1;08.11.2016;n1-h-a1-l5;15.15861133;305.0793297;502.038147;0.560525658
GC1;08.11.2016;n1-h-a1-l5;8.200931991;324.7908548;201.2992859;0.694610137
GC1;08.11.2016;n1-h-a1-l5;5.662891516;333.5865632;124.9214096;0.709468986
GC1;08.11.2016;n1-h-a1-l5;3.988454413;358.2389391;99.05123901;0.710443018
GC1;08.11.2016;n1-h-a1-l5;2.260379253;371.4586912;81.02412415;0.720548395
GC1;08.11.2016;n1-h-a1-l5;2.292286171;363.9291036;59.42077255;0.730241501
GC1;08.11.2016;n1-h-a1-l5;0.456388899;386.3526243;41.14936066;0.735648938
GC1;08.11.2016;n1-h-a1-l5;0.889061908;382.602527;28.40496063;0.738828964
GC1;08.11.2016;n1-h-a1-l5;-2.040536389;411.055252;0.740464509;0.778327617
GC1;08.11.2016;n2-h-a1-l5;25.06491156;296.6840464;1299.811035;0.403674608
GC1;08.11.2016;n2-h-a1-l5;22.6063698;245.1208191;1000.401917;0.471781322
GC1;08.11.2016;n2-h-a1-l5;17.26579635;290.5705341;501.9396667;0.599630436
GC1;08.11.2016;n2-h-a1-l5;7.051900655;339.106982;201.4001617;0.688845068
GC1;08.11.2016;n2-h-a1-l5;3.071245209;369.4841333;124.876152;0.713102587
GC1;08.11.2016;n2-h-a1-l5;2.932195472;368.9323304;99.22836304;0.719732596
GC1;08.11.2016;n2-h-a1-l5;1.40279778;378.1233519;81.22401428;0.722981433
GC1;08.11.2016;n2-h-a1-l5;0.612268981;386.2142381;59.45512772;0.731360328
GC1;08.11.2016;n2-h-a1-l5;-1.186517296;403.4897246;41.17010117;0.738235522
GC1;08.11.2016;n2-h-a1-l5;-1.19170243;403.936519;28.35690498;0.74375467
GC1;08.11.2016;n2-h-a1-l5;-3.11516386;426.5674006;0.582613707;0.784820843
GC1;08.11.2016;n3-h-a1-l5;23.01133925;283.7781503;1298.657471;0.41394299
GC1;08.11.2016;n3-h-a1-l5;22.06288957;257.2318756;998.1610107;0.480508468
GC1;08.11.2016;n3-h-a1-l5;17.0664818;294.5337919;498.8045959;0.601554765
GC1;08.11.2016;n3-h-a1-l5;8.55150879;328.7792064;201.9449005;0.695061618
GC1;08.11.2016;n3-h-a1-l5;4.866183183;353.0380685;125.3220673;0.718032708
GC1;08.11.2016;n3-h-a1-l5;3.564544128;361.733362;99.53492737;0.725120747
GC1;08.11.2016;n3-h-a1-l5;2.178985474;376.7733522;81.43891907;0.730058793
GC1;08.11.2016;n3-h-a1-l5;1.249070676;382.9044815;59.67100143;0.73434571
GC1;08.11.2016;n3-h-a1-l5;-0.603421894;394.1920998;41.30442047;0.735956974
GC1;08.11.2016;n3-h-a1-l5;-1.275356014;400.2106454;28.43350792;0.74274767
GC1;08.11.2016;n3-h-a1-l5;-2.143228503;409.6582054;0.618030369;0.774890632
GC1;11.11.2016;n1-m-a2-l6;26.29029668;340.120165;1299.970581;0.317761353
GC1;11.11.2016;n1-m-a2-l6;24.59601515;292.9553045;998.5786133;0.39258417
GC1;11.11.2016;n1-m-a2-l6;20.72718776;306.5936079;500.9520874;0.564367958
