ExpID;MeasureDate;PlantID;VarietyID;LightID;NitrogenID;LeafNo;EA_degree;LA_cm2
GH1;10.05.2017;312;A;L;H;13;-72.13867747;758.9668548
GH1;10.05.2017;312;A;L;H;14;-72.24639144;743.9408419
GH1;10.05.2017;312;A;L;H;15;-78.88587992;580.6163224
GH1;10.05.2017;312;A;L;H;16;-80.90640514;559.2913218
GH1;10.05.2017;312;A;L;H;17;-71.29694269;472.7166207
GH1;10.05.2017;312;A;L;H;18;-74.77165303;547.6612569
GH1;10.05.2017;312;A;L;H;19;-75.3430055;575.7265557
GH1;10.05.2017;312;A;L;H;20;-66.46020567;604.3488801
GH1;10.05.2017;312;A;L;H;21;-68.69086573;594.5529437
GH1;10.05.2017;312;A;L;H;22;-73.85007516;508.953274
GH1;10.05.2017;312;A;L;H;23;-68.74466793;840.0925681
GH1;10.05.2017;208;A;L;L;1;-0.036540642;237.935284
GH1;10.05.2017;208;A;L;L;2;-36.89940844;469.6178621
GH1;10.05.2017;208;A;L;L;3;-31.52709202;415.9969889
GH1;10.05.2017;208;A;L;L;4;-57.40912776;618.1898275
GH1;10.05.2017;208;A;L;L;5;-76.38067989;897.7287224
GH1;10.05.2017;208;A;L;L;6;-52.43840296;893.406357
GH1;10.05.2017;208;A;L;L;7;-71.98846271;790.92889
GH1;10.05.2017;208;A;L;L;8;-53.07251461;871.1079186
GH1;10.05.2017;208;A;L;L;9;-48.96637256;900.0492908
GH1;10.05.2017;208;A;L;L;10;-68.08697903;918.7999394
GH1;10.05.2017;208;A;L;L;11;-54.38271057;913.2230398
GH1;10.05.2017;208;A;L;L;12;-69.41192355;938.58778
GH1;10.05.2017;208;A;L;L;13;-69.3712762;929.714238
GH1;10.05.2017;208;A;L;L;14;-66.74908046;758.2692028
GH1;10.05.2017;208;A;L;L;15;-64.74422768;891.5876959
GH1;10.05.2017;208;A;L;L;16;-51.91561173;818.4369198
GH1;10.05.2017;208;A;L;L;17;-69.6534408;714.550702
